symbol,date,price
Hillary,Apr-13-2015-07,177
Hillary,Apr-13-2015-08,153
Hillary,Apr-13-2015-09,166
Hillary,Apr-13-2015-10,205
Hillary,Apr-13-2015-11,397
Hillary,Apr-13-2015-12,433
Hillary,Apr-13-2015-13,584
Hillary,Apr-13-2015-14,678
Hillary,Apr-13-2015-15,718
Hillary,Apr-13-2015-16,645
Hillary,Apr-13-2015-17,696
Hillary,Apr-13-2015-18,553
Hillary,Apr-13-2015-19,526
Hillary,Apr-13-2015-20,492
Hillary,Apr-13-2015-21,572
Hillary,Apr-13-2015-22,695
Hillary,Apr-13-2015-23,557
Hillary,Apr-14-2015-00,505
Hillary,Apr-14-2015-01,547
Hillary,Apr-14-2015-02,520
Hillary,Apr-14-2015-03,337
Hillary,Apr-14-2015-04,209
Hillary,Apr-14-2015-05,184
Hillary,Apr-14-2015-06,99
Hillary,Apr-14-2015-07,114
Hillary,Apr-14-2015-08,83
Hillary,Apr-14-2015-09,156
Hillary,Apr-14-2015-10,212
Hillary,Apr-14-2015-11,235
Hillary,Apr-14-2015-12,252
Hillary,Apr-14-2015-13,339
Hillary,Apr-14-2015-14,281
Hillary,Apr-14-2015-15,507
Hillary,Apr-14-2015-16,516
